Name,Platform,Genre,Global_Sales,game_key,Name_meta,Genre_meta,Score_pro,Score_user,Publisher,Developer,N_pro,N_user,day,year,month,release_date,quarter,Franchise_wikipedia,compound,multiplayer,singleplayer
Harry Potter and the Sorcerer's Stone,PS2,Action,0.28,harry-potter-and-the-sorcerer-s-stone,Harry Potter and the Sorcerer's Stone,"Action Adventure, Fantasy",5.6,6.7,ea games,Warthog,14,38,9,2003,12,2003-12-09,4.0,Harry Potter,0.15982142857142856,0.0,1.0
Harry Potter and the Sorcerer's Stone,PS2,Action,0.28,harry-potter-and-the-sorcerer-s-stone,Harry Potter and the Sorcerer's Stone,"Action Adventure, Fantasy",5.6,6.7,ea games,Warthog,14,38,9,2003,12,2003-12-09,4.0,Harry Potter,0.15982142857142856,0.0,1.0
Harry Potter and the Sorcerer's Stone,PS2,Action,0.28,harry-potter-and-the-sorcerer-s-stone,Harry Potter and the Sorcerer's Stone,"Action Adventure, Fantasy",5.6,6.7,ea games,Warthog,14,38,9,2003,12,2003-12-09,4.0,Harry Potter,0.15982142857142856,0.0,1.0
Harry Potter and the Sorcerer's Stone,GC,Action,0.08,harry-potter-and-the-sorcerer-s-stone,Harry Potter and the Sorcerer's Stone,"Action Adventure, Fantasy",6.2,7.8,ea games,Warthog,11,12,9,2003,12,2003-12-09,4.0,Harry Potter,0.11790000000000002,0.0,1.0
Harry Potter and the Sorcerer's Stone,GC,Action,0.08,harry-potter-and-the-sorcerer-s-stone,Harry Potter and the Sorcerer's Stone,"Action Adventure, Fantasy",6.2,7.8,ea games,Warthog,11,12,9,2003,12,2003-12-09,4.0,Harry Potter,0.11790000000000002,0.0,1.0
Harry Potter and the Sorcerer's Stone,GC,Action,0.08,harry-potter-and-the-sorcerer-s-stone,Harry Potter and the Sorcerer's Stone,"Action Adventure, Fantasy",6.2,7.8,ea games,Warthog,11,12,9,2003,12,2003-12-09,4.0,Harry Potter,0.11790000000000002,0.0,1.0
Harry Potter and the Sorcerer's Stone,GC,Action,0.08,harry-potter-and-the-sorcerer-s-stone,Harry Potter and the Sorcerer's Stone,"Action Adventure, Fantasy",6.2,7.8,ea games,Warthog,11,12,9,2003,12,2003-12-09,4.0,Harry Potter,0.11790000000000002,0.0,1.0
Harry Potter and the Sorcerer's Stone,GC,Action,0.08,harry-potter-and-the-sorcerer-s-stone,Harry Potter and the Sorcerer's Stone,"Action Adventure, Fantasy",6.2,7.8,ea games,Warthog,11,12,9,2003,12,2003-12-09,4.0,Harry Potter,0.11790000000000002,0.0,1.0
Harry Potter and the Sorcerer's Stone,XB,Action,0.07,harry-potter-and-the-sorcerer-s-stone,Harry Potter and the Sorcerer's Stone,"Action Adventure, Fantasy",5.9,6.9,ea games,Warthog,11,8,9,2003,12,2003-12-09,4.0,Harry Potter,-0.04405454545454545,0.0,1.0
Harry Potter and the Sorcerer's Stone,XB,Action,0.07,harry-potter-and-the-sorcerer-s-stone,Harry Potter and the Sorcerer's Stone,"Action Adventure, Fantasy",5.9,6.9,ea games,Warthog,11,8,9,2003,12,2003-12-09,4.0,Harry Potter,-0.04405454545454545,0.0,1.0
Harry Potter and the Sorcerer's Stone,XB,Action,0.07,harry-potter-and-the-sorcerer-s-stone,Harry Potter and the Sorcerer's Stone,"Action Adventure, Fantasy",5.9,6.9,ea games,Warthog,11,8,9,2003,12,2003-12-09,4.0,Harry Potter,-0.04405454545454545,0.0,1.0
Harry Potter and the Sorcerer's Stone,XB,Action,0.07,harry-potter-and-the-sorcerer-s-stone,Harry Potter and the Sorcerer's Stone,"Action Adventure, Fantasy",5.9,6.9,ea games,Warthog,11,8,9,2003,12,2003-12-09,4.0,Harry Potter,-0.04405454545454545,0.0,1.0
