Name,Main story duration,Duration hrs
LEGO Star Wars III: The Clone Wars,9 Hours,9.0
SpongeBob SquarePants: SuperSponge,1.5 Hours,1.5
50 Cent: Bulletproof,5.5 Hours,5.5
State of Emergency,5 Hours,5.0
State of Emergency 2,--,
Kinect Star Wars,5 Hours,5.0
Just Cause 2,18 Hours,18.0
For Honor,7 Hours,7.0
Might and Magic VII: For Blood and Honor,50.5 Hours,50.5
Code of Honor: The French Foreign Legion,2 Hours,2.0
Gladiators Online: Death Before Dishonor,--,
LEGO City Undercover: The Chase Begins,7 Hours,7.0
Twisted Metal III,3.5 Hours,3.5
Ben 10: Protector of Earth,5 Hours,5.0
Star Wars: The Clone Wars - Lightsaber Duels,2 Hours,2.0
Heavenly Sword,7 Hours,7.0
Uncharted: Golden Abyss,10 Hours,10.0
LEGO Pirates of the Caribbean: The Video Game,8.5 Hours,8.5
Twisted Metal,4.5 Hours,4.5
Twisted Metal 4,3.5 Hours,3.5
Twisted Metal 2,5 Hours,5.0
Twisted Metal: Head-On,4 Hours,4.0
Twisted Metal: Black,4 Hours,4.0
Twisted Metal: Small Brawl,2.5 Hours,2.5
Final Fight,1 Hours,1.0
Virtua Fighter 5: Final Showdown,44 Mins,0.7333333333333333
Final Fight 2,1.5 Hours,1.5
Final Fight 3,1.5 Hours,1.5
Final Fight: Double Impact,52 Mins,0.8666666666666667
Final Fight: Streetwise,7.5 Hours,7.5
Street Fighter 2010: The Final Fight,1 Hours,1.0
Turrican II: The Final Fight,1.5 Hours,1.5
Ultra Street Fighter II: The Final Challengers,1.5 Hours,1.5
Mighty Final Fight,50 Mins,0.8333333333333334
Final Fight Revenge,25 Mins,0.4166666666666667
Final Fight One,2 Hours,2.0
Final Fight Guy,1 Hours,1.0
Mafia II,12 Hours,12.0
Mafia II: Definitive Edition,11 Hours,11.0
Mafia III: Definitive Edition,25 Hours,25.0
Mafia III,22.5 Hours,22.5
Mafia II - Joe's Adventures,6 Hours,6.0
Mafia III - Stones Unturned,2.5 Hours,2.5
Mafia III - Sign of the Times,2.5 Hours,2.5
"Mafia III - Faster, Baby!",2 Hours,2.0
Mafia II - The Betrayal of Jimmy,6 Hours,6.0
Mafia II - Jimmy's Vendetta,5 Hours,5.0
Mafia II Mobile,2 Hours,2.0
Pac-Man World 2,4.5 Hours,4.5
Metal Gear Rising: Revengeance,7 Hours,7.0
Metal Gear Rising: Revengeance - Blade Wolf DLC,1 Hours,1.0
Metal Gear Rising: Revengeance - Jetstream DLC,1.5 Hours,1.5
Pac-Man World,7 Hours,7.0
Pac-Man World 3,7.5 Hours,7.5
Pac-Man World Rally,2 Hours,2.0
Ryse: Son of Rome,6.5 Hours,6.5
The SpongeBob SquarePants Movie,7 Hours,7.0
Onimusha 3: Demon Siege,12 Hours,12.0
Resident Evil Outbreak,8.5 Hours,8.5
Yu-Gi-Oh! The Duelists of the Roses,14.5 Hours,14.5
Disney's The Lion King,2 Hours,2.0
The Lion King: Simba's Mighty Adventure,1 Hours,1.0
Disney's The Lion King 1 1/2,1.5 Hours,1.5
The Lion King: Operation Pridelands,2.5 Hours,2.5
Teenage Mutant Ninja Turtles III: The Manhattan Project,3 Hours,3.0
